epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,3.1811463832855225,3.181152105331421,3997244.0,17.935279846191406,4.2350053787231445,2.8151841163635254,2.815182685852051,2947790.25,12.726553916931152,3.567429304122925
1,2.074151039123535,2.0741493701934814,1878369.25,7.977160930633545,2.8243868350982666,2.3390085697174072,2.33900785446167,1297538.5,8.61210823059082,2.9346396923065186
2,1.2859361171722412,1.2859352827072144,609224.125,3.097578287124634,1.7599948644638062,1.529359221458435,1.5293618440628052,877258.75,4.499050617218018,2.1210970878601074
3,0.9636828303337097,0.9636839628219604,346091.46875,1.7936354875564575,1.3392672538757324,1.2640618085861206,1.264060616493225,850745.3125,3.0933995246887207,1.758805513381958
4,0.8085980415344238,0.8085973858833313,263054.0625,1.3038653135299683,1.1418684720993042,0.9828908443450928,0.9828898310661316,493973.75,2.2729008197784424,1.507615089416504
5,0.7244768738746643,0.7244778275489807,230223.046875,1.091463327407837,1.0447309017181396,1.1481001377105713,1.1480998992919922,636073.125,2.6946535110473633,1.6415399312973022
6,0.660792350769043,0.6607929468154907,198339.28125,0.9340477585792542,0.9664615988731384,0.7269344925880432,0.726934552192688,402257.40625,1.1795810461044312,1.0860843658447266
7,0.6152046322822571,0.6152043342590332,180885.03125,0.8318846225738525,0.9120767712593079,0.9306507706642151,0.9306498169898987,415006.5,1.7310179471969604,1.3156814575195312
8,0.584259033203125,0.5842586159706116,168506.25,0.767079770565033,0.8758311867713928,0.7689043879508972,0.7689056396484375,479001.0,1.489950180053711,1.2206350564956665
9,0.5550667643547058,0.5550654530525208,161387.921875,0.7096144556999207,0.8423858284950256,0.7588363885879517,0.7588366866111755,457601.8125,1.494914174079895,1.2226665019989014
10,0.535697877407074,0.5356976389884949,150879.703125,0.666371762752533,0.8163160085678101,0.656835675239563,0.6568353772163391,440174.625,1.0637010335922241,1.0313588380813599
11,0.518465518951416,0.5184664726257324,146787.34375,0.6326860785484314,0.7954155802726746,1.0924853086471558,1.092485785484314,834851.0,3.447789430618286,1.8568216562271118
12,0.5060420632362366,0.5060423612594604,141094.6875,0.6142887473106384,0.7837667465209961,0.9135099649429321,0.9135096073150635,261380.234375,1.4798765182495117,1.2165030241012573
13,0.4946138560771942,0.4946132302284241,134997.859375,0.5936464667320251,0.7704848647117615,0.5644441843032837,0.5644442439079285,272744.5625,0.7698283195495605,0.8773981928825378
14,0.4848649203777313,0.4848642647266388,134517.765625,0.5809051990509033,0.7621708512306213,0.6026597023010254,0.602660059928894,394778.9375,1.0450305938720703,1.0222673416137695
15,0.46828147768974304,0.46828120946884155,127820.546875,0.5481475591659546,0.7403689622879028,0.5729993581771851,0.5729990005493164,278921.5,0.8243573307991028,0.9079416990280151
16,0.4601404368877411,0.46013936400413513,122979.25,0.5316064953804016,0.7291136384010315,0.591648519039154,0.591649055480957,342705.28125,0.9379199147224426,0.9684626460075378
17,0.45474398136138916,0.45474380254745483,121643.3984375,0.5303256511688232,0.7282346487045288,0.6590222716331482,0.659022867679596,346578.28125,1.0924512147903442,1.0452044010162354
18,0.4491693079471588,0.44916996359825134,123710.8046875,0.5198567509651184,0.7210102081298828,0.5978460907936096,0.5978464484214783,260691.28125,0.8986636400222778,0.9479783177375793
19,0.4383087158203125,0.43830835819244385,118942.140625,0.501234769821167,0.7079797387123108,0.6126879453659058,0.612687885761261,348174.03125,0.9443080425262451,0.9717550873756409
